P_ID,Timestamp,Version,Ihl,Tos,Len,Flags,Frag,Ttl,Proto,Chksum,Src,Dst,Sport,Dport,Seq,Ack,Dataofs,Reserved,Tflags,Tproto,Window,Tchksum,Urgptr,Label
158,1706300993.739000,4,5,0,56,-1,0,128,17,8698,10.0.2.15,10.0.2.15,52106,53,,,,,,0,,,,0
159,1706300993.795000,4,5,0,72,-1,0,128,17,8681,10.0.2.15,10.0.2.15,53,52106,,,,,,0,,,,0
18310,1706300993.813000,4,5,0,52,2,0,128,6,58547,10.0.2.15,192.0.2.123,50383,443,3728627528,0,8,0,-1,1,65535,42100,0,0
18310,1706300993.813000,4,5,0,52,2,0,128,6,39712,10.0.2.15,10.0.2.15,50383,443,3728627528,0,8,0,-1,1,65535,23265,0,0
160,1706300993.813000,4,5,0,52,2,0,128,6,57862,10.0.2.15,10.0.2.15,443,50383,1996998772,3728627529,8,0,-1,1,65535,8496,0,0
160,1706300993.813000,4,5,0,52,2,0,128,6,11162,192.0.2.123,10.0.2.15,443,50383,1996998772,3728627529,8,0,-1,1,65535,27331,0,0
18311,1706300993.813000,4,5,0,40,2,0,128,6,58558,10.0.2.15,192.0.2.123,50383,443,3728627529,1996998773,5,0,-1,1,1024,41402,0,0
18311,1706300993.813000,4,5,0,40,2,0,128,6,39723,10.0.2.15,10.0.2.15,50383,443,3728627529,1996998773,5,0,-1,1,1024,22567,0,0
18312,1706300993.839000,4,5,0,235,2,0,128,6,58362,10.0.2.15,192.0.2.123,50383,443,3728627529,1996998773,5,0,1,1,1024,4359,0,1
18312,1706300993.839000,4,5,0,235,2,0,128,6,39527,10.0.2.15,10.0.2.15,50383,443,3728627529,1996998773,5,0,1,1,1024,51059,0,1
161,1706300993.839000,4,5,0,40,2,0,128,6,57873,10.0.2.15,10.0.2.15,443,50383,1996998773,3728627724,5,0,-1,1,1025,22371,0,0
161,1706300993.839000,4,5,0,40,2,0,128,6,11173,192.0.2.123,10.0.2.15,443,50383,1996998773,3728627724,5,0,-1,1,1025,41206,0,0
162,1706300993.839000,4,5,0,889,2,0,128,6,57023,10.0.2.15,10.0.2.15,443,50383,1996998773,3728627724,5,0,1,1,1025,40860,0,1
162,1706300993.839000,4,5,0,889,2,0,128,6,10323,192.0.2.123,10.0.2.15,443,50383,1996998773,3728627724,5,0,1,1,1025,59695,0,1
18313,1706300993.839000,4,5,0,40,2,0,128,6,58556,10.0.2.15,192.0.2.123,50383,443,3728627724,1996999622,5,0,-1,1,1020,40362,0,0
18313,1706300993.839000,4,5,0,40,2,0,128,6,39721,10.0.2.15,10.0.2.15,50383,443,3728627724,1996999622,5,0,-1,1,1020,21527,0,0
18314,1706300993.955000,4,5,0,40,2,0,128,6,58555,10.0.2.15,192.0.2.123,50383,443,3728627724,1996999622,5,0,-1,1,1020,40361,0,0
18314,1706300993.955000,4,5,0,40,2,0,128,6,39720,10.0.2.15,10.0.2.15,50383,443,3728627724,1996999622,5,0,-1,1,1020,21526,0,0
163,1706300993.955000,4,5,0,40,2,0,128,6,57871,10.0.2.15,10.0.2.15,443,50383,1996999622,3728627725,5,0,-1,1,1025,21521,0,0
163,1706300993.955000,4,5,0,40,2,0,128,6,11171,192.0.2.123,10.0.2.15,443,50383,1996999622,3728627725,5,0,-1,1,1025,40356,0,0
164,1706300993.955000,4,5,0,40,2,0,128,6,57870,10.0.2.15,10.0.2.15,443,50383,1996999622,3728627725,5,0,-1,1,1025,21520,0,0
164,1706300993.955000,4,5,0,40,2,0,128,6,11170,192.0.2.123,10.0.2.15,443,50383,1996999622,3728627725,5,0,-1,1,1025,40355,0,0
18315,1706300993.955000,4,5,0,40,2,0,128,6,58554,10.0.2.15,192.0.2.123,50383,443,3728627725,1996999623,5,0,-1,1,1020,40360,0,0
18315,1706300993.955000,4,5,0,40,2,0,128,6,39719,10.0.2.15,10.0.2.15,50383,443,3728627725,1996999623,5,0,-1,1,1020,21525,0,0
165,1706300999.491000,4,5,0,57,-1,0,128,17,8690,10.0.2.15,10.0.2.15,50703,53,,,,,,0,,,,0
166,1706300999.569000,4,5,0,73,-1,0,128,17,8673,10.0.2.15,10.0.2.15,53,50703,,,,,,0,,,,0
18316,1706300999.646000,4,5,0,52,2,0,128,6,58541,10.0.2.15,192.0.2.123,50384,443,1474384155,0,8,0,-1,1,65535,12542,0,0
18316,1706300999.646000,4,5,0,52,2,0,128,6,39706,10.0.2.15,10.0.2.15,50384,443,1474384155,0,8,0,-1,1,65535,59242,0,0
167,1706300999.646000,4,5,0,52,2,0,128,6,57855,10.0.2.15,10.0.2.15,443,50384,91003083,1474384156,8,0,-1,1,65535,20222,0,0
167,1706300999.646000,4,5,0,52,2,0,128,6,11155,192.0.2.123,10.0.2.15,443,50384,91003083,1474384156,8,0,-1,1,65535,39057,0,0
18317,1706300999.646000,4,5,0,40,2,0,128,6,58552,10.0.2.15,192.0.2.123,50384,443,1474384156,91003084,5,0,-1,1,1024,53128,0,0
18317,1706300999.646000,4,5,0,40,2,0,128,6,39717,10.0.2.15,10.0.2.15,50384,443,1474384156,91003084,5,0,-1,1,1024,34293,0,0
18318,1706300999.697000,4,5,0,236,2,0,128,6,58355,10.0.2.15,192.0.2.123,50384,443,1474384156,91003084,5,0,1,1,1024,23577,0,1
18318,1706300999.697000,4,5,0,236,2,0,128,6,39520,10.0.2.15,10.0.2.15,50384,443,1474384156,91003084,5,0,1,1,1024,4742,0,1
168,1706300999.697000,4,5,0,40,2,0,128,6,57866,10.0.2.15,10.0.2.15,443,50384,91003084,1474384352,5,0,-1,1,1025,34096,0,0
168,1706300999.716000,4,5,0,40,2,0,128,6,11166,192.0.2.123,10.0.2.15,443,50384,91003084,1474384352,5,0,-1,1,1025,52931,0,0
169,1706300999.716000,4,5,0,889,2,0,128,6,57016,10.0.2.15,10.0.2.15,443,50384,91003084,1474384352,5,0,1,1,1025,32309,0,1
169,1706300999.716000,4,5,0,889,2,0,128,6,10316,192.0.2.123,10.0.2.15,443,50384,91003084,1474384352,5,0,1,1,1025,51144,0,1
18319,1706300999.742000,4,5,0,40,2,0,128,6,58550,10.0.2.15,192.0.2.123,50384,443,1474384352,91003933,5,0,-1,1,1020,52087,0,0
18319,1706300999.742000,4,5,0,40,2,0,128,6,39715,10.0.2.15,10.0.2.15,50384,443,1474384352,91003933,5,0,-1,1,1020,33252,0,0
18320,1706300999.742000,4,5,0,40,2,0,128,6,58549,10.0.2.15,192.0.2.123,50384,443,1474384352,91003933,5,0,-1,1,1020,52086,0,0
18320,1706300999.742000,4,5,0,40,2,0,128,6,39714,10.0.2.15,10.0.2.15,50384,443,1474384352,91003933,5,0,-1,1,1020,33251,0,0
170,1706300999.742000,4,5,0,40,2,0,128,6,57864,10.0.2.15,10.0.2.15,443,50384,91003933,1474384353,5,0,-1,1,1025,33246,0,0
170,1706300999.742000,4,5,0,40,2,0,128,6,11164,192.0.2.123,10.0.2.15,443,50384,91003933,1474384353,5,0,-1,1,1025,52081,0,0
171,1706300999.742000,4,5,0,40,2,0,128,6,57863,10.0.2.15,10.0.2.15,443,50384,91003933,1474384353,5,0,-1,1,1025,33245,0,0
171,1706300999.742000,4,5,0,40,2,0,128,6,11163,192.0.2.123,10.0.2.15,443,50384,91003933,1474384353,5,0,-1,1,1025,52080,0,0
18321,1706300999.742000,4,5,0,40,2,0,128,6,58548,10.0.2.15,192.0.2.123,50384,443,1474384353,91003934,5,0,-1,1,1020,52085,0,0
18321,1706300999.742000,4,5,0,40,2,0,128,6,39713,10.0.2.15,10.0.2.15,50384,443,1474384353,91003934,5,0,-1,1,1020,33250,0,0
172,1706301025.601000,4,5,0,62,-1,0,128,17,8678,10.0.2.15,10.0.2.15,61115,53,,,,,,0,,,,0
173,1706301025.606000,4,5,0,78,-1,0,128,17,8661,10.0.2.15,10.0.2.15,53,61115,,,,,,0,,,,0
174,1706301025.606000,4,5,0,62,-1,0,128,17,8676,10.0.2.15,10.0.2.15,54012,53,,,,,,0,,,,0
175,1706301025.606000,4,5,0,78,-1,0,128,17,8659,10.0.2.15,10.0.2.15,53,54012,,,,,,0,,,,0
18322,1706301025.606000,4,5,0,52,2,0,128,6,58535,10.0.2.15,192.0.2.123,50385,80,2426512776,0,8,0,-1,1,64240,43593,0,0
18322,1706301025.606000,4,5,0,52,2,0,128,6,39700,10.0.2.15,10.0.2.15,50385,80,2426512776,0,8,0,-1,1,64240,24758,0,0
176,1706301025.606000,4,5,0,52,2,0,128,6,57846,10.0.2.15,10.0.2.15,80,50385,4240153686,2426512777,8,0,-1,1,65535,51295,0,0
176,1706301025.606000,4,5,0,52,2,0,128,6,11146,192.0.2.123,10.0.2.15,80,50385,4240153686,2426512777,8,0,-1,1,65535,4595,0,0
